Article Name,Article Content
When should you trade MOVE options?,"The price and value of a MOVE contract reflect expectations about the volatility of the asset. For example, if you believe that the price of the underlying asset - Bitcoin or Ethereum - will go either up or down, you can long the contract.
On the contrary, if you believe that the underlying asset price will be relatively stable, you can short the MOVE contract. In this trade, you are short volatility. In this way, MOVE contracts on Delta allow you to trade cryptocurrency volatility.
MOVE contracts are useful during times of high market uncertainty with large price swings in either direction. They allow you to profit off of volatility without you having to predict the direction of the price change. As an example, take the FEDs most recent $700 billion injection into the US stock market. Uncertainty surrounded this event and it was difficult to tell whether the news would be interpreted positively or negatively. In a case like this, a MOVE Contract allows you to speculate on the upcoming volatility whilst disregarding the direction of the move."
Types of MOVE contracts,"Delta Exchange offers access to two types of MOVE contracts. Both types - Daily and Weekly - are available for Bitcoin and Ethereum, allowing you to comprehensively trade the daily and weekly volatility of both assets.
Daily MOVE contracts
Daily MOVE contracts track the movement of the underlying asset across a 24 hour period. The ticker for the Delta daily MOVE contract has the following format:
MV-[Underlying_Asset]-D-[Settlement Date]
where Settlement Date is in ddmmyy format. For example, MV-BTC-D-050320 is the ticker of a daily MOVE contract on BTC that will settle on 5th March 2020.
Weekly MOVE contracts
Weekly MOVE contracts track the movement of the underlying asset across a 7 day period. The ticker for weekly MOVE contract has the following format:
MV-[Underlying_Asset]-W-[Settlement Date]
where Settlement Date is in ddmmyy format. For example, MV-ETH-W-130320 is the ticker of a weekly MOVE contract on ETH that will settle on 13th March 2020.
[video width=""1920"" height=""980"" mp4=""http://static.delta.exchange/wp-content/uploads/2020/04/move_options.mp4""][/video]"
Key terms for MOVE contracts,"There are a number of key terms that are associated with MOVE contracts that traders should be aware of prior to trading.
Strike Price
The
Strike Price
is the starting price of the contract, measured as the 30 minute TWAP of the underlying asset - Bitcoin or Ethereum.
Settlement Price
The
Settlement Price,
also known as the ending price, is the 30 minute TWAP of the underlying asset - Bitcoin or Ethereum - at time of settlement. The absolute movement of the underlying asset at settlement time is therefore settlement price - strike price.
Last Price
The
Last Price
is the price of the most recent executed trade.
Index Price
The
Index Price
is the spot price of the underlying asset - Bitcoin or Ethereum - useful for reference.
Mark Price
The
Mark Price
is the price used to mark open positions on Delta, for profit/loss calculations and to trigger liquidations. The Mark Price on Delta Exchange is calculated using Fair Price Marketing, which can be read about in more detail
here
.
Premium
The
Premium
is the cost of buying the MOVE contracts. This is calculated as the
Number of Contracts * Entry Price.
In the case of a MOVE contract, long traders pay the cost of the contracts (i.e. the premium) to the selling party. Upon entering a MOVE contract, the premium will be deducted from the balance of the long trader and will be added to the balance of the short trader.
Time to settlement
Settlement Time is the time until the expiration of the MOVE contract. The time to settlement is in the DD:HH:MM format.
24h High / 24h Low
24h High
and
24h Low
show the highest and lowest USD values of the MOVE contract in the previous 24 hours."
How is the profit/ loss for MOVE contracts calculated?,"To calculate your profit or loss on a MOVE contract, compute your
‘pay-off’
minus your
‘premium’
.
The Profit/Loss of a MOVE position can be calculated as follows:
Profit/ Loss
= Pay−off +/− Premium
For longs
Pay−off
= Num_of_contracts ∗ Mark Price
Profit / Loss
= − Premium + (Num_of_contracts ∗ Mark Price)
For shorts
Pay−off
= − Num_of_contracts ∗ Mark Price
Profit / Loss
= Premium − Num_of_contracts * Mark Price
Longing a MOVE contract is profitable when the BTC/ETH price either rises or falls from the strike price by more than the total premium paid. Shorting a MOVE contract is profitable when the price rises or falls from the strike price by less than the total premium paid.
If you buy a move contract with strike price 6500 for $150, then you will make money only if the price is above 6650 or below 6350. In this way, the MOVE price that’s trading in the market tells you what is priced in. You thus make money when what happens to be priced in is incorrect."
How to trade MOVE contracts?,"To trade a MOVE contract on Delta Exchange, follow the instructions below:
Log onto Delta Exchange.
MOVE contracts are margined and settled in USDT. Convert your BTC to USDT if necessary.
Navigate to
MOVE Markets
.
Pick your preferred product:
BTC [Daily expiration]
BTC [Weekly expiration]
ETH [Daily expiration]
ETH [Weekly expiration]
Navigate to the order book on the right hand side of your screen.
Choose your preferred order type - limit, market or stop market.
Choose your direction - long or short.
Taking a Long position implies making a bet on high volatility and price fluctuations.
Taking a Short position implies making a bet on low volatility and price flucuations.
Choose your preferred price and quantity.
Click ‘Place Order’ to finish.
The below video walks you through how to place an order on a MOVE contract.
Trading MOVE contracts is very straightforward on Delta Exchange. Should you have any questions, please visit the
Delta Telegram channel
or submit a
support ticket
."
Trade and Win an iPhone 12,"Trade $50,000 in volume. Win an iPhone 12!
Eligibility Criteria & Rules:
To be eligible for the lucky draw, you need to have done a trading volume of at least $50,000 between December 18th and January 31st, 11:59pm UTC.
You can trade
any of the contracts
available on Delta.
After achieving the target volume within the campaign duration, a winner will be randomly selected as part of a luck draw, and will be announced on or before the 7th of February 2021.
Terms & Conditions:
Only participants from the allowed countries, mentioned in our
Terms of Service
, will qualify for the prize.
In case a winning participant is from the restricted location; they will be disqualified and the draw will be done again.
This campaign is for all the customers (existing and new) of Delta.
If, for whatever reasons, the prize (iPhone 12) is not available or deliverable; then an equivalent cash amount will be credited to your Delta account or an equivalent amount of gift card will be given out.
Delta Exchange reserves the right to change the terms of the promotion or discontinue the promotion for any or all user(s) at any time due to risk of fraud or any other factor that it deems relevant.
In case of any dispute the decision of Delta Exchange shall be final and binding.
If you've any questions regarding the contest; please feel free to reach out to us on our
Telegram Group here
."
DETOfam Meme and GIF Contest - Prize Pool of $5000 worth DETO,"Total Prize Pool
= $5,000 worth
DETO
Meme Contest Prize (in DETO):
No. of Unique Entries
Total Prize Pool
1st Prize
2nd Prize
3rd Prize
4 to 10th Prize Pool
(Shared)
25
$1,000
$250
$150
$100
$500
25-50
$1,500
$500
$200
$150
$650
50+
$2,000
$750
$500
$250
$500
GIF Contest Prize (in DETO):
No. of Unique Entries
Total Prize Pool
1st Prize
2nd Prize
3rd Prize
4 to 10th Prize Pool
(Shared)
25
$1,500
$400
$250
$150
$700
25-50
$2,000
$600
$350
$250
$800
50+
$3,000
$800
$550
$350
$1300
Contest Duration:
Start date: October 5th
End date: October 19th, 6:00 PM UTC
Participation Rules:
Follow our
Twitter
(
@Delta_Exchange
) and join our
Telegram
(
@DeltaExChat
).
You can create your own Meme and/or GIF which includes Delta Exchange logo and DETO token reference.
DETO Token details:
http://delta.exchange/delta-exchange-token
No adult content, violence, or uncivilized content allowed. Keep it clean and funny!
Download Delta Exchange’s official logo from
here
.
Reply to our Contest Tweet with your meme/GIF, with #DETOfam and tag 3 friends.
Share your meme/GIF in our Telegram group with the hashtag #DETOfam
Fill out this
Contest Form
to confirm your entry.
Contest Terms:
To qualify for the prize, you must complete all the above steps and submit the
Contest Form
before the contest deadline.
The winners will be selected by the Delta Exchange Team.
Winners will be declared 5 working days after the contest end date.
Winners will receive their prize in DETO tokens after the Token Generation Event, in their Delta Exchange account.
Only one entry per person is allowed. One person can submit both, Meme and GIF, and stand to win prizes for both their entries."
Delta Videothon Video Contest - Prize Pool of $10000 worth DETO,"Total Prize Pool
=
$10,000
worth
DETO (100,000 DETO)
'Live Trading' Video Contest Prize (in DETO):
No. of Unique Entries
Total Prize Pool
1st Prize
2nd Prize
3rd Prize
4 to 15th Prize Pool
(Shared)
15
15000
5000
3500
2500
4000
15-30
25,000
10,000
4000
3000
8000
30-50
50,000
20,000
12,500
7500
10,000
50+
70,000
30,000
20,000
10,000
10,000
A
""Live Trading""
video showcases an actual trading activity on Delta Exchange.
'Live Trading' video can cover the following:
'Live Trading'
videos need to show actual trading (no testnet/mock trading) on any contract(s) on Delta; explaining everything from funding the wallet (BTC or USDT), opening the position, charting, sharing PNL card, closing position, etc. You can talk about your trading approach, and how you're using the contract(s) on Delta to your advantage.
To qualify as a '
Live Trading'
video entry; your video length must be
over 10mins
.
You can trade across any number of contracts on Delta of your choice. You can showcase multiple positions while explaining the contracts you chose to trade.
First 2 winning positions will get additional
1500 DETO each
; if they choose to trade any of the
Options contracts
on Delta.
Video Contest Prize (in DETO):
No. of Unique Entries
Total Prize Pool
1st Prize
2nd Prize
3rd Prize
4 to 15th Prize Pool
(Shared)
1-15
10,000
4000
3000
2000
1000
15-30
20,000
7000
5000
3000
5000
30+
30,000
10,000
8000
5000
7000
A
""Video""
entry is more of an informational video which doesn't primarily cover actual trading activity.
You could cover any of the following points:
Talk about the benefits of trading on Delta andmany advantages of Delta over other exchanges.
Give a detailed overview of Delta Exchange and walkthrough of the website and the exchange platform.
You can explain the various contracts available to trade on Delta Exchange.
You can also choose to cover any one product category in-depth (E.g: Futures, Perpetual Swaps, Options, Interest Rate Swaps, etc.).
Contest Duration:
Start date: October 19th
End date: January 31st, 6:30 PM UTC
Participation Rules:
Upload your video to your
YouTube
channel.
The title of the Video must contain the brand term;
Delta Exchange
Mention your Delta Referral link in the video description and Delta’s social channels (Twitter & Telegram).
Tweet this YouTube video link along with the hashtag #DeltaVideothon, tag @Delta_Exchange and tag 3 friends.
Share your tweet in our Telegram group with the hashtag #DeltaVideothon
Fill out this
Contest Form
to confirm your entry.
No adult content, violence, or uncivilized language allowed.
Selection Criteria:
1. Delta Team Scoring (50%):
Select members from the Delta Exchange team will score the videos on the basis of the content accuracy, creativity, communication and quality of the overall video.
2. Engagement Scoring (50%):
This scoring aspect will be based on the combination of engagement metrics like Views, Likes, Retweets, Comments/Replies, etc. the video receives.
Any ""paid buying"" of above mentioned engagement metrics (e.g: Likes, Comments, Shares, Retweets, etc.) will lead to immediate disqualification of the video entry.
Contest Terms:
Video can be made in any of the following languages: English, Hindi, Russian, Italian, Spanish, French, German, Korean, Japanese, Turkish, etc.
By submitting a video following the requirements detailed above, you agree to give us permission to re-use or re-post your videos across any of our other platforms at any time.
Winners will be announced 7 business days after the end date of the competition.
Multiple submissions are allowed. But
only one submission per person
will be eligible to get a prize.
A participant is only eligible to win prize in one category (either Video or Live Trading Video).
Delta Exchange reserves the right to amend the Terms and Conditions of this campaign without any prior notice.
If you've any questions regarding the contest; please feel free to reach out to us on our
Telegram Group here
."
25% Deposit Bonus Offer - Oct 2020,"BTC Deposit Bonus Offer:
Deposit (in BTC)
Bonus (in BTC)
> 0.015
25% of the deposit amount
> 0.4
0.1 ($1250 Maximum Bonus)
USDT Deposit Bonus Offer:
Deposit (in USDT)
Bonus (in USDT)
> $200
25% of the deposit amount
> $5000
$1250 (Maximum Bonus)
Offer Terms:
This offer is applicable on the BTC or USDT deposit by any user, new and existing.
Get
25% Deposit Bonus;
with a
maximum bonus of $1250,
equivalent in USDT or BTC as per your deposit.
The Deposit Bonus can be claimed only once per user; either in BTC or USDT.
For users with existing balances, net deposits (total deposits minus total withdrawals) in BTC and USDT combined from the time of offer announcement will be considered for computing the applicable bonus amount. Therefore, if you withdraw your existing balances and deposit them again, you will not be eligible for deposit bonus.
There are no withdrawal restrictions on your own capital, i.e. your deposit and realized profits. - However, if your account balance will fall below a certain threshold after the withdrawal, you will forfeit the bonus.
Withdrawal restrictions on the deposit bonus are lifted once we have recovered the bonus amount from your trading. 20% of the trading profits is used to payback the bonus.
Deposit Bonus will be credited automatically to your account within 48 hours of your qualifying deposit with us.
Duplicate accounts are not allowed.
If a user is discovered to have claimed bonuses from multiple accounts, all his bonuses will be forfeited.
Valid till
15th November 2020
.
Delta Exchange reserves the right to change the terms of the promotion or discontinue the promotion for any or all user(s) at any time due to risk of fraud or any other factor that it deems relevant. In case of any dispute the decision of Delta Exchange shall be final and binding.
Example:
Since the minimum amount required to get the bonus is blocked;
For example
: If you deposit $1000, you'll get $250 as bonus. So, $1000 + $250 (bonus) will be the blocked amount. As you keep paying the bonus back, the blocked amount will keep getting lower. Lets say you have paid back $100, your new blocked amount is $1000 + 150 = $1150.
When you have completely paid the deposit bonus back, your blocked amount is 0. Please also note that:
1. You can make a withdrawal anytime by forfeiting the bonus. No restriction on withdrawing the amount that you have deposited.
2. Your account balance prior to taking up the deposit bonus offer has no bearing on the blocked amount."
$500 USDT in Trading Bonus - For USDT Deposits Only,"USDT Deposit Bonus Offer:
Deposit (in USDT)
Bonus (in USDT)
> $100
10% of the deposit amount
> $5000
$500 (Maximum Bonus)
Offer Terms:
This offer is applicable only for the
first-time USDT deposit
made by a new user.
If your first deposit is in BTC and you convert it to USDT; you will not be eligible for this deposit bonus.
Get
10% Sign Up Bonus;
with a maximum bonus of
$500 in USDT
, as per your deposit.
The Sign Up Bonus can be claimed only once per user; only in USDT.
For users with existing balances, net deposits (total deposits minus total withdrawals) in USDT combined from the time of offer announcement will be considered for computing the applicable bonus amount. Therefore, if you withdraw your existing balances and deposit them again, you will not be eligible for sign up bonus.
There are no withdrawal restrictions on your own capital, i.e. your deposit and realized profits. - However, if your account balance will fall below a certain threshold after the withdrawal, you will forfeit the bonus.
Withdrawal restrictions on the deposit bonus are lifted once we have recovered the bonus amount from your trading. 20% of the trading profits is used to payback the bonus.
Deposit Bonus will be credited automatically to your account within 48 hours of your qualifying deposit with us.
Duplicate accounts are not allowed.
If a user is discovered to have claimed bonuses from multiple accounts, all his bonuses will be forfeited.
Offer valid only for new users who have signed up after
10am UTC, 7
th June 2021
.
Delta Exchange reserves the right to change the terms of the promotion or discontinue the promotion for any or all user(s) at any time due to risk of fraud or any other factor that it deems relevant. In case of any dispute the decision of Delta Exchange shall be final and binding.
Example:
Since the minimum amount required to get the bonus is blocked;
For example
: If you deposit $1000, you'll get $100 as bonus. So, $1000 + $100 (bonus) will be the blocked amount. As you keep paying the bonus back, the blocked amount will keep getting lower. Lets say you have paid back $50, your new blocked amount is $1000 + 50 = $1050.
When you have completely paid the sign up bonus back, your blocked amount is 0. Please also note that:
1. You can make a withdrawal anytime by forfeiting the bonus. No restriction on withdrawing the amount that you have deposited.
2. Your account balance prior to taking up the deposit bonus offer has no bearing on the blocked amount.
If you have any queries or need clarifications, please reach out to us at
[email protected]
."
Halloween Deposit Bonus Offer,"BTC Deposit Bonus Offer:
Deposit (in BTC)
Bonus (in BTC)
> 0.015
50% of the deposit amount
> 0.2
0.1 ($1250 Maximum Bonus)
USDT Deposit Bonus Offer:
Deposit (in USDT)
Bonus (in USDT)
> $200
50% of the deposit amount
> $2500
$1250 (Maximum Bonus)
Campaign Offer Terms:
5 lucky draw winners from the
Halloween Trick or Treat
campaign will be eligible for this offer.
The lucky winners will be announced on 2nd November 2020.
This offer is applicable on the BTC or USDT deposit by
new users
who've signed up on Delta after 26th October, 2020.
All those participants who satisfy the above point, will be getting
25% Deposit Bonus
, as mentioned
here
.
All the participants must deposit > 0.015 BTC (or 200 USDT) before 11pm UTC, 31st October 2020, to be eligible for the lucky draw.
Lucky winners will get
50% Deposit Bonus;
with a
maximum bonus of $1250,
equivalent in USDT or BTC as per their deposit.
The Deposit Bonus can be claimed only once per user; either in BTC or USDT.
For users with existing balances, net deposits (total deposits minus total withdrawals) in BTC and USDT combined from the time of offer announcement will be considered for computing the applicable bonus amount. Therefore, if you withdraw your existing balances and deposit them again, you will not be eligible for deposit bonus.
There are no withdrawal restrictions on your own capital, i.e. your deposit and realized profits. - However, if your account balance will fall below a certain threshold after the withdrawal, you will forfeit the bonus.
Withdrawal restrictions on the deposit bonus are lifted once we have recovered the bonus amount from your trading. A fraction of profits from your trades are used for the recovery of bonus.
Deposit Bonus will be credited automatically to your account within 24 hours of winners announcement.
Duplicate accounts are not allowed.
Halloween Offer is valid only till
31st October, 11pm UTC
.
If a user is discovered to have claimed bonuses from multiple accounts, all his bonuses will be forfeited.
Delta Exchange reserves the right to change the terms of the promotion or discontinue the promotion for any or all user(s) at any time due to risk of fraud or any other factor that it deems relevant. In case of any dispute the decision of Delta Exchange shall be final and binding.
If you have any queries or need clarifications, please reach out to us at
[email protected]
."
USDT Deposit Offer - 2020,"USDT Deposit Offer terms:
This offer is applicable on the first USDT deposit by any user, new or existing.
There are no withdrawal restrictions on your own capital, i.e. your deposit and realised profits. - However, if your account balance will fall below a certain threshold after the withdrawal, you will forfeit the bonus.
Withdrawal restrictions on the deposit bonus are lifted once we have recovered the bonus amount from your trading. A fraction of profits from your trades are used for the recovery of bonus.
Deposit Bonus will be credited automatically to your account within 48 hours of your qualifying deposit with us.
The Deposit Bonus can be claimed only once per user. Duplicate accounts are not allowed.
Valid till
20th September 2020
.
Delta Exchange reserves the right to change the terms of the promotion or discontinue the promotion for any or all user(s) at any time due to risk of fraud or any other factor that it deems relevant. In case of any dispute the decision of Delta Exchange shall be final and binding.
If you have any queries or need clarifications, please reach out to us at
[email protected]
."
VIP Program - Get up to 50% Fee Rebate,"Rewarding traders driving higher daily volumes. Become a VIP trader with us and enjoy up to
50% rebate on fee!
Details of the V.I.P Program
Tier Level
Trading Volume (30 day Avg.)
Fee Rebate
With 250,000 DETO holding
With 1,000,000 DETO holding
VIP 1
$50 Million
20%
22.5%
25%
VIP 2
$300 Million
30%
32.5%
35%
VIP 3
$600 Million
35%
37.5%
40%
VIP 4
$1500 Million
40%
42.5%
45%
VIP 5
$3000 Million
45%
47.5%
50%
Offer Terms:
VIP Levels are calculated automatically on a daily basis.
Last 30 day average volume is used for choosing the VIP levels.
Daily DETO balance will be used to assess the qualifying levels for those holding DETO 100K+ and 500K+.
If the
average monthly volume
is not available, then
daily average volume
will be used for relevant calculations.
DETO MSP benefits and referral benefits cannot be availed by VIP users.
Customers qualifying for super VIP or part of RMM program won't get any other DETO rewards/offers from Trade Mining, Robo Trading, M.S.P, etc.
If the fee paid on an options contract is capped at 10% of the premium of that option then the VIP discount will not apply on that order.
Delta Exchange reserves the right to change this program anytime.
In case of any disputes, Delta Exchange’s interpretation of the rules of the Program will be final and binding.
Delta Exchange reserves the right to debar any customer from being a part of the VIP program.
Need more information?
Should you have any queries or need clarifications, please don't hesitate to write us at
[email protected]
or ping us on
Telegram
."
Bitcoin Halving Offer,"Trade into Bitcoin Halving and get up to 40% Deposit Bonus!
On the occasion of the upcoming Bitcoin Halving next week, we're offering up to
40% Deposit Bonus
to all our traders.

To avail this offer, you simply need to trade the volumes mentioned in the table below up till the halving block (630,000) is mined. Once you've met any of the Total Volume criteria, you'll then have 7 days, after the halving, to claim your Deposit Bonus Offer as per the corresponding Total Volume criteria mentioned below.
Offer Details
Total Volume ($ Million)
Deposit Bonus (%)
Max. Bonus (BTC)
Min Net Deposit (BTC)
0.25 - 0.5
10%
0.005
0.025
0.5 - 1
15%
0.01
0.038
1 - 2
20%
0.02
0.056
2 - 5
25%
0.03
0.067
5""}"">> 5
40%
0.07
0.085
Offer Terms & Conditions
This promotion will be active from
5th May
2020,
8 pm UTC
through to the mining of the halving block (block number 630,000) on the Bitcoin blockchain.
Users can trade any contract that is listed on Delta Exchange. Both maker and taker volumes will count towards your
Total Volume
. For contracts where the default unit of trading volume is in BTC, the daily average rate of Delta Exchange's
BTC-USD price index
will be used to convert BTC denominated volume to USD denominated volume.
Users need to meet any of the Total Volume criteria (mentioned in the table above) within the promotion period to be eligible for claiming the Deposit Bonus Offer.
All qualifying users will be intimated by email. They will get
7 days after the halving
to claim the Deposit Bonus Offer.
Net Deposit Calculation:
Deposit Bonus Offer will be awarded on the
first deposit
made after the promotion period ends. For the purposes of computing the Net Deposit, withdrawals made between the start of the promotion period and the
first deposit
after the promotion period would be subtracted from the
first deposit
.
Users can deposit and withdraw only BTC to/ from their Delta Wallet. The USD value of the first deposit would be calculated using the value of Delta Exchange's
BTC-USD price index
at the time the deposit in credit in the user's Delta wallet.
Deposit bonus will be credited within 24 hours from the time of the
first deposit
.
Some of the user's funds and the deposit bonus will be subject to withdrawal restrictions until user has paid trading fees equalling 2 times the deposit bonus. After this condition is met, the deposit bonus will be freely withdrawable. Even before this condition is met, user can withdraw his funds after forfeiting the deposit bonus.
In case of any disputes, Delta Exchange's interpretation of the rules of the offer will be final and binding.
Need more information?
Should you have any queries or need clarifications, please don't hesitate to write us at
[email protected]
."
Announcement regarding upcoming Ethereum network upgrade,"Ethereum network’s Shanghai & Capella upgrade is set to take place at epoch 194048, at around
10:30pm UTC
on 12
th
April (4am IST on 13
th
April). In preparation for this upcoming upgrade, Delta Exchange will take the following steps:
Deposits and withdrawals for Ethereum network (i.e. for ETH and all ERC20 coins) will be halted around 10pm UTC on 12
th
April.
Deposits and withdrawals for the above-mentioned coins will be resumed once the upgraded Ethereum network is stable.
Trading of contracts on ETH or any other ERC20 tokens will not be affected during the network upgrade."
Basic Verification Level (Mobile number verification) Discontinuation,"As per our latest KYC policy, all customers are required to upgrade from Basic Verification to Verified or Verified Plus KYC states on or before
March 31, 2023
to enjoy uninterrupted service.
Currently all the users who have only done mobile number verification fall in the basic verification category.
Docs required to upgrade KYC:
Government issued ID
Selfie verification
Proof of Address (only for Verified Plus state)
Verify Now
Failure to comply by March 31, 2023 deadline will result in suspension of your deposit, withdrawal and trading privileges. For any queries, please write to us at
[email protected]"
